run_id	commit	node_fp	model	shape	backend	config_hash	script	load_s	max_s	seed	tps_c1	tps_c4	tps_c8	tps_c16	tps_c32	peak_gb	req_counts	validity	knobs	status	notes	data
20260809-162556-chat	9e9906e	gb10-1988a9714b4e	DavidAU/Qwen3.6-27B-Fable-Fusion-711-Uncensored-Heretic-NM-DAU-NEO-MAX-MTP-GGUF	chat(512/256)	llamacpp@0865990	8b07e87b	launchers/LCPP-DavidAU_Qwen3.6-27B-FF711_NEO-MAX-MTP.smoke-runbook.sh	na	180	42	19.25	na	na	62.3	na	57.4	c1:12/0/0;c16:39/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	cfg=q5km-mtp-d2-np16 quant=Qwen3.6-27B-Fable-Fus-711-UnHeretic-NM-DAU-NEO-MAX-NEO-MTP-Q5_K_M np=16 temp=0 exp=20260809-162505 n1	results/gb10-1988a9714b4e/DavidAU/Qwen3.6-27B-Fable-Fusion-711-Uncensored-Heretic-NM-DAU-NEO-MAX-MTP-GGUF/data/20260809-162556-chat
20260809-163219-chat	a52c39f	gb10-1988a9714b4e	DavidAU/Qwen3.6-27B-Fable-Fusion-711-Uncensored-Heretic-NM-DAU-NEO-MAX-MTP-GGUF	chat(512/256)	llamacpp@0865990	8b07e87b	launchers/LCPP-DavidAU_Qwen3.6-27B-FF711_NEO-MAX-MTP.smoke-runbook.sh	na	180	42	19.09	na	na	65.2	na	57.9	c1:12/0/0;c16:42/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	cfg=q5km-mtp-d2-np16 quant=Qwen3.6-27B-Fable-Fus-711-UnHeretic-NM-DAU-NEO-MAX-NEO-MTP-Q5_K_M np=16 temp=0 exp=20260809-162505 n2	results/gb10-1988a9714b4e/DavidAU/Qwen3.6-27B-Fable-Fusion-711-Uncensored-Heretic-NM-DAU-NEO-MAX-MTP-GGUF/data/20260809-163219-chat
20260809-163845-chat	a52c39f	gb10-1988a9714b4e	DavidAU/Qwen3.6-27B-Fable-Fusion-711-Uncensored-Heretic-NM-DAU-NEO-MAX-MTP-GGUF	chat(512/256)	llamacpp@0865990	8b07e87b	launchers/LCPP-DavidAU_Qwen3.6-27B-FF711_NEO-MAX-MTP.smoke-runbook.sh	na	180	42	18.98	na	na	63.51	na	58.0	c1:12/0/0;c16:40/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	cfg=q5km-mtp-d2-np16 quant=Qwen3.6-27B-Fable-Fus-711-UnHeretic-NM-DAU-NEO-MAX-NEO-MTP-Q5_K_M np=16 temp=0 exp=20260809-162505 n3	results/gb10-1988a9714b4e/DavidAU/Qwen3.6-27B-Fable-Fusion-711-Uncensored-Heretic-NM-DAU-NEO-MAX-MTP-GGUF/data/20260809-163845-chat
20260809-164806-chat	a52c39f	gb10-1988a9714b4e	DavidAU/Qwen3.6-27B-Fable-Fusion-711-Uncensored-Heretic-NM-DAU-NEO-MAX-MTP-GGUF	chat(512/256)	llamacpp@0865990	24202f25	launchers/LCPP-DavidAU_Qwen3.6-27B-FF711_NEO-MAX-MTP.smoke-runbook.sh	na	180	42	12.15	na	na	61.1	na	51.0	c1:7/0/0;c16:37/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	cfg=mtp-off quant=Qwen3.6-27B-Fable-Fus-711-UnHeretic-NM-DAU-NEO-MAX-NEO-Q5_K_M np=16 temp=0 exp=20260809-164612 n1	results/gb10-1988a9714b4e/DavidAU/Qwen3.6-27B-Fable-Fusion-711-Uncensored-Heretic-NM-DAU-NEO-MAX-MTP-GGUF/data/20260809-164806-chat
20260809-165428-chat	a52c39f	gb10-1988a9714b4e	DavidAU/Qwen3.6-27B-Fable-Fusion-711-Uncensored-Heretic-NM-DAU-NEO-MAX-MTP-GGUF	chat(512/256)	llamacpp@0865990	24202f25	launchers/LCPP-DavidAU_Qwen3.6-27B-FF711_NEO-MAX-MTP.smoke-runbook.sh	na	180	42	11.98	na	na	60.61	na	51.9	c1:7/0/0;c16:37/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	cfg=mtp-off quant=Qwen3.6-27B-Fable-Fus-711-UnHeretic-NM-DAU-NEO-MAX-NEO-Q5_K_M np=16 temp=0 exp=20260809-164612 n2	results/gb10-1988a9714b4e/DavidAU/Qwen3.6-27B-Fable-Fusion-711-Uncensored-Heretic-NM-DAU-NEO-MAX-MTP-GGUF/data/20260809-165428-chat
20260809-170056-chat	a52c39f	gb10-1988a9714b4e	DavidAU/Qwen3.6-27B-Fable-Fusion-711-Uncensored-Heretic-NM-DAU-NEO-MAX-MTP-GGUF	chat(512/256)	llamacpp@0865990	24202f25	launchers/LCPP-DavidAU_Qwen3.6-27B-FF711_NEO-MAX-MTP.smoke-runbook.sh	na	180	42	12.03	na	na	62.37	na	51.7	c1:7/0/0;c16:36/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	cfg=mtp-off quant=Qwen3.6-27B-Fable-Fus-711-UnHeretic-NM-DAU-NEO-MAX-NEO-Q5_K_M np=16 temp=0 exp=20260809-164612 n3	results/gb10-1988a9714b4e/DavidAU/Qwen3.6-27B-Fable-Fusion-711-Uncensored-Heretic-NM-DAU-NEO-MAX-MTP-GGUF/data/20260809-170056-chat
20260809-170831-chat	a52c39f	gb10-1988a9714b4e	DavidAU/Qwen3.6-27B-Fable-Fusion-711-Uncensored-Heretic-NM-DAU-NEO-MAX-MTP-GGUF	chat(512/256)	llamacpp@0865990	19ef11e7	launchers/LCPP-DavidAU_Qwen3.6-27B-FF711_NEO-MAX-MTP.smoke-runbook.sh	na	180	42	16.71	na	na	65.57	na	56.4	c1:10/0/0;c16:42/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	cfg=mtp-d1 quant=Qwen3.6-27B-Fable-Fus-711-UnHeretic-NM-DAU-NEO-MAX-NEO-MTP-Q5_K_M np=16 temp=0 exp=20260809-170718 n1	results/gb10-1988a9714b4e/DavidAU/Qwen3.6-27B-Fable-Fusion-711-Uncensored-Heretic-NM-DAU-NEO-MAX-MTP-GGUF/data/20260809-170831-chat
20260809-171450-chat	a52c39f	gb10-1988a9714b4e	DavidAU/Qwen3.6-27B-Fable-Fusion-711-Uncensored-Heretic-NM-DAU-NEO-MAX-MTP-GGUF	chat(512/256)	llamacpp@0865990	19ef11e7	launchers/LCPP-DavidAU_Qwen3.6-27B-FF711_NEO-MAX-MTP.smoke-runbook.sh	na	180	42	16.53	na	na	64.3	na	55.8	c1:10/0/0;c16:40/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	cfg=mtp-d1 quant=Qwen3.6-27B-Fable-Fus-711-UnHeretic-NM-DAU-NEO-MAX-NEO-MTP-Q5_K_M np=16 temp=0 exp=20260809-170718 n2	results/gb10-1988a9714b4e/DavidAU/Qwen3.6-27B-Fable-Fusion-711-Uncensored-Heretic-NM-DAU-NEO-MAX-MTP-GGUF/data/20260809-171450-chat
20260809-172113-chat	a52c39f	gb10-1988a9714b4e	DavidAU/Qwen3.6-27B-Fable-Fusion-711-Uncensored-Heretic-NM-DAU-NEO-MAX-MTP-GGUF	chat(512/256)	llamacpp@0865990	19ef11e7	launchers/LCPP-DavidAU_Qwen3.6-27B-FF711_NEO-MAX-MTP.smoke-runbook.sh	na	180	42	16.61	na	na	63.58	na	56.4	c1:10/0/0;c16:40/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	cfg=mtp-d1 quant=Qwen3.6-27B-Fable-Fus-711-UnHeretic-NM-DAU-NEO-MAX-NEO-MTP-Q5_K_M np=16 temp=0 exp=20260809-170718 n3	results/gb10-1988a9714b4e/DavidAU/Qwen3.6-27B-Fable-Fusion-711-Uncensored-Heretic-NM-DAU-NEO-MAX-MTP-GGUF/data/20260809-172113-chat
20260809-172828-chat	a52c39f	gb10-1988a9714b4e	DavidAU/Qwen3.6-27B-Fable-Fusion-711-Uncensored-Heretic-NM-DAU-NEO-MAX-MTP-GGUF	chat(512/256)	llamacpp@0865990	75244ff5	launchers/LCPP-DavidAU_Qwen3.6-27B-FF711_NEO-MAX-MTP.smoke-runbook.sh	na	180	42	19.86	na	na	60.82	na	61.7	c1:13/0/0;c16:39/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	cfg=mtp-d3 quant=Qwen3.6-27B-Fable-Fus-711-UnHeretic-NM-DAU-NEO-MAX-NEO-MTP-Q5_K_M np=16 temp=0 exp=20260809-172735 n1	results/gb10-1988a9714b4e/DavidAU/Qwen3.6-27B-Fable-Fusion-711-Uncensored-Heretic-NM-DAU-NEO-MAX-MTP-GGUF/data/20260809-172828-chat
