run_id	commit	node_fp	model	shape	backend	config_hash	script	load_s	max_s	seed	tps_c1	tps_c4	tps_c8	tps_c16	tps_c32	peak_gb	req_counts	validity	knobs	status	notes	data
20260615-175157-chat	39aae92	gb10-1988a9714b4e	RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4	chat(512/256)	vllm@0.23.0(img:sha256:6d8429e38e37)	66c4a57d	runbooks/RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4/baseline.sh	677	180	42	17.31	42.77	57.02	73.01	103.44	118.5	c1:11/0/0;c4:28/3/0;c8:38/7/0;c16:49/15/0;c32:63/31/0	ok	levels=1|4|8|16|32,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	suite full-sweep; thermal=64C/37W	results/gb10-1988a9714b4e/RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4/data/20260615-175157-chat
20260615-180752-coder	39aae92	gb10-1988a9714b4e	RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4	coder(4096/1024)	vllm@0.23.0(img:sha256:6d8429e38e37)	66c4a57d	runbooks/RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4/baseline.sh	677	180	42	17.73	34.88	37.52	37.26	9.99	118.6	c1:3/0/0;c4:5/3/0;c8:6/7/0;c16:6/15/0;c32:1/31/0	no_data@c1+no_data@c32+low_sample@c4+low_sample@c8+low_sample@c16+nonmonotonic+survivorship@c8+survivorship@c16+survivorship@c32	levels=1|4|8|16|32,max_s=180,seed=42,prompt=4096,output=1024,stall=na,ltimeout=na,gllm=0.6.0	measured	suite full-sweep; thermal=68C/39W	results/gb10-1988a9714b4e/RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4/data/20260615-180752-coder
20260616-031158-chat	c5296bd	gb10-1988a9714b4e	RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4	chat(512/256)	vllm@0.23.0(img:sha256:6d8429e38e37)	d00606f7	runbooks/RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4/baseline.sh	733	180	42	17.06	na	na	77.69	na	112.5	c1:12/0/0;c16:51/14/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260616-025918 n1; thermal=67C/37W	results/gb10-1988a9714b4e/RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4/data/20260616-031158-chat
20260616-031839-chat	64c45cd	gb10-1988a9714b4e	RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4	chat(512/256)	vllm@0.23.0(img:sha256:6d8429e38e37)	d00606f7	runbooks/RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4/baseline.sh	733	180	42	16.9	na	na	75.54	na	112.5	c1:12/0/0;c16:48/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260616-025918 n2; thermal=68C/38W	results/gb10-1988a9714b4e/RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4/data/20260616-031839-chat
20260616-032523-chat	64c45cd	gb10-1988a9714b4e	RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4	chat(512/256)	vllm@0.23.0(img:sha256:6d8429e38e37)	d00606f7	runbooks/RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4/baseline.sh	733	180	42	17.45	na	na	73.97	na	112.6	c1:11/0/0;c16:49/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260616-025918 n3; thermal=70C/39W	results/gb10-1988a9714b4e/RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4/data/20260616-032523-chat
20260616-034532-chat	64c45cd	gb10-1988a9714b4e	RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4	chat(512/256)	vllm@0.23.0(img:sha256:6d8429e38e37)	479fc3da	runbooks/RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4/20260616_mtp-n1_tuned.sh	803	180	42	22.99	na	na	92.77	na	114.1	c1:15/0/0;c16:57/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260616-033147 n1; thermal=66C/36W	results/gb10-1988a9714b4e/RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4/data/20260616-034532-chat
20260616-035153-chat	64c45cd	gb10-1988a9714b4e	RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4	chat(512/256)	vllm@0.23.0(img:sha256:6d8429e38e37)	479fc3da	runbooks/RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4/20260616_mtp-n1_tuned.sh	803	180	42	22.75	na	na	95.49	na	114.3	c1:15/0/0;c16:58/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260616-033147 n2; thermal=70C/37W	results/gb10-1988a9714b4e/RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4/data/20260616-035153-chat
20260616-035814-chat	64c45cd	gb10-1988a9714b4e	RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4	chat(512/256)	vllm@0.23.0(img:sha256:6d8429e38e37)	479fc3da	runbooks/RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4/20260616_mtp-n1_tuned.sh	803	180	42	22.3	na	na	90.23	na	114.3	c1:16/0/0;c16:58/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260616-033147 n3; thermal=71C/38W	results/gb10-1988a9714b4e/RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4/data/20260616-035814-chat
20260616-041612-chat	64c45cd	gb10-1988a9714b4e	RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4	chat(512/256)	vllm@0.23.0(img:sha256:6d8429e38e37)	02a6e621	runbooks/RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4/20260616_async-sched_tuned.sh	628	180	42	17.66	na	na	70.35	na	112.8	c1:11/0/0;c16:47/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260616-040519 n1; thermal=66C/36W	results/gb10-1988a9714b4e/RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4/data/20260616-041612-chat
20260616-042232-chat	64c45cd	gb10-1988a9714b4e	RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4	chat(512/256)	vllm@0.23.0(img:sha256:6d8429e38e37)	02a6e621	runbooks/RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4/20260616_async-sched_tuned.sh	628	180	42	17.65	na	na	78.41	na	112.9	c1:11/0/0;c16:51/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260616-040519 n2; thermal=68C/37W	results/gb10-1988a9714b4e/RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4/data/20260616-042232-chat
