run_id	commit	node_fp	model	shape	backend	config_hash	script	load_s	max_s	seed	tps_c1	tps_c4	tps_c8	tps_c16	tps_c32	peak_gb	req_counts	validity	knobs	status	notes	data
20260613-105041	639b900	gb10-1988a9714b4e	RedHatAI/Qwen3-8B-NVFP4	chat(512/256)	vllm@0.22.0(img:sha256:0fec7ec5f3e6)	139701ef	runbooks/RedHatAI/Qwen3-8B-NVFP4/baseline.sh	na	180	na	na	na	na	na	hang	na	na	na	levels=32,max_s=180,seed=na,prompt=512,output=256,stall=na,ltimeout=na,gllm=na	crash	c32 deadlock @180s: gen->0 tok/s, 32 reqs stuck, GPU wedged 96%/15W; c1-c16 ok	na
20260613-122100-chat	7f85391	gb10-1988a9714b4e	RedHatAI/Qwen3-8B-NVFP4	chat(512/256)	vllm@0.22.0(img:sha256:0fec7ec5f3e6)	139701ef	runbooks/RedHatAI/Qwen3-8B-NVFP4/baseline.sh	140	180	na	41.12	154.59	281	466.75	687.74	66.8	c1:28/0/0;c4:109/3/0;c8:201/7/0;c16:331/14/0;c32:481/31/0	ok	levels=1|4|8|16|32,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	max_s=180	results/gb10-1988a9714b4e/RedHatAI/Qwen3-8B-NVFP4/data/20260613-122100-chat
20260613-123642-coder	7f85391	gb10-1988a9714b4e	RedHatAI/Qwen3-8B-NVFP4	coder(4096/1024)	vllm@0.22.0(img:sha256:0fec7ec5f3e6)	139701ef	runbooks/RedHatAI/Qwen3-8B-NVFP4/baseline.sh	140	180	na	36.06	101.12	142.87	164.08	161.65	66.8	c1:7/0/0;c4:18/4/0;c8:27/7/0;c16:32/15/0;c32:30/32/0	survivorship@c32	levels=1|4|8|16|32,max_s=180,seed=42,prompt=4096,output=1024,stall=na,ltimeout=na,gllm=0.6.0	suspect	max_s=180; adjudicated=suspect@20260820(v1.2 recompute; invariants question this row)	results/gb10-1988a9714b4e/RedHatAI/Qwen3-8B-NVFP4/data/20260613-123642-coder
20260613-130852-chat	51008c5	gb10-1988a9714b4e	RedHatAI/Qwen3-8B-NVFP4	chat(512/256)	vllm@0.22.0(img:sha256:0fec7ec5f3e6)	cddbebf8	runbooks/RedHatAI/Qwen3-8B-NVFP4/20260613_native-fp4_tuned.sh	150	180	na	39.24	na	na	473.44	na	67.4	c1:27/0/0;c16:333/16/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260613-130620 n1; max_s=180	results/gb10-1988a9714b4e/RedHatAI/Qwen3-8B-NVFP4/data/20260613-130852-chat
20260613-131512-chat	f321292	gb10-1988a9714b4e	RedHatAI/Qwen3-8B-NVFP4	chat(512/256)	vllm@0.22.0(img:sha256:0fec7ec5f3e6)	cddbebf8	runbooks/RedHatAI/Qwen3-8B-NVFP4/20260613_native-fp4_tuned.sh	150	180	na	39.46	na	na	496.81	na	67.3	c1:29/0/0;c16:349/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260613-130620 n2; max_s=180	results/gb10-1988a9714b4e/RedHatAI/Qwen3-8B-NVFP4/data/20260613-131512-chat
20260613-132132-chat	f321292	gb10-1988a9714b4e	RedHatAI/Qwen3-8B-NVFP4	chat(512/256)	vllm@0.22.0(img:sha256:0fec7ec5f3e6)	cddbebf8	runbooks/RedHatAI/Qwen3-8B-NVFP4/20260613_native-fp4_tuned.sh	150	180	na	39.51	na	na	501.01	na	67.3	c1:29/0/0;c16:351/16/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260613-130620 n3; max_s=180	results/gb10-1988a9714b4e/RedHatAI/Qwen3-8B-NVFP4/data/20260613-132132-chat
20260613-134328-chat	1b1180e	gb10-1988a9714b4e	RedHatAI/Qwen3-8B-NVFP4	chat(512/256)	vllm@0.22.0(img:sha256:0fec7ec5f3e6)	4612c780	runbooks/RedHatAI/Qwen3-8B-NVFP4/20260613_kv-fp8_tuned.sh	115	180	42	38.98	na	na	hang	na	68.3	c1:29/0/0;c16:na	no_data@c16	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	crash	exp=20260613-134131 n1; hang@c16; thermal=71C/26W	results/gb10-1988a9714b4e/RedHatAI/Qwen3-8B-NVFP4/data/20260613-134328-chat
20260613-140006-chat	4ae249a	gb10-1988a9714b4e	RedHatAI/Qwen3-8B-NVFP4	chat(512/256)	vllm@0.22.0(img:sha256:0fec7ec5f3e6)	8926869b	runbooks/RedHatAI/Qwen3-8B-NVFP4/20260613_async-sched_tuned.sh	145	180	42	38.74	na	na	473.13	na	68.3	c1:26/0/0;c16:334/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260613-135739 n1; thermal=74C/34W	results/gb10-1988a9714b4e/RedHatAI/Qwen3-8B-NVFP4/data/20260613-140006-chat
20260613-140621-chat	4ae249a	gb10-1988a9714b4e	RedHatAI/Qwen3-8B-NVFP4	chat(512/256)	vllm@0.22.0(img:sha256:0fec7ec5f3e6)	8926869b	runbooks/RedHatAI/Qwen3-8B-NVFP4/20260613_async-sched_tuned.sh	145	180	42	38.72	na	na	497.24	na	68.3	c1:29/0/0;c16:351/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260613-135739 n2; thermal=65C/33W	results/gb10-1988a9714b4e/RedHatAI/Qwen3-8B-NVFP4/data/20260613-140621-chat
20260613-141244-chat	4ae249a	gb10-1988a9714b4e	RedHatAI/Qwen3-8B-NVFP4	chat(512/256)	vllm@0.22.0(img:sha256:0fec7ec5f3e6)	8926869b	runbooks/RedHatAI/Qwen3-8B-NVFP4/20260613_async-sched_tuned.sh	145	180	42	38.97	na	na	504.32	na	68.2	c1:29/0/0;c16:354/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260613-135739 n3; thermal=64C/33W	results/gb10-1988a9714b4e/RedHatAI/Qwen3-8B-NVFP4/data/20260613-141244-chat
20260613-142253-chat	58ad961	gb10-1988a9714b4e	RedHatAI/Qwen3-8B-NVFP4	chat(512/256)	vllm@0.22.0(img:sha256:0fec7ec5f3e6)	09a8d663	runbooks/RedHatAI/Qwen3-8B-NVFP4/20260613_attn-flashinfer_tuned.sh	116	180	42	38.78	na	na	479.4	na	68.4	c1:29/0/0;c16:337/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260613-142056 n1; thermal=69C/34W	results/gb10-1988a9714b4e/RedHatAI/Qwen3-8B-NVFP4/data/20260613-142253-chat
20260613-142915-chat	58ad961	gb10-1988a9714b4e	RedHatAI/Qwen3-8B-NVFP4	chat(512/256)	vllm@0.22.0(img:sha256:0fec7ec5f3e6)	09a8d663	runbooks/RedHatAI/Qwen3-8B-NVFP4/20260613_attn-flashinfer_tuned.sh	116	180	42	38.76	na	na	506.64	na	68.5	c1:29/0/0;c16:355/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260613-142056 n2; thermal=68C/33W	results/gb10-1988a9714b4e/RedHatAI/Qwen3-8B-NVFP4/data/20260613-142915-chat
20260613-143536-chat	58ad961	gb10-1988a9714b4e	RedHatAI/Qwen3-8B-NVFP4	chat(512/256)	vllm@0.22.0(img:sha256:0fec7ec5f3e6)	09a8d663	runbooks/RedHatAI/Qwen3-8B-NVFP4/20260613_attn-flashinfer_tuned.sh	116	180	42	38.92	na	na	507.52	na	68.5	c1:29/0/0;c16:357/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260613-142056 n3; thermal=63C/32W	results/gb10-1988a9714b4e/RedHatAI/Qwen3-8B-NVFP4/data/20260613-143536-chat
20260613-162600-chat	60afe62	gb10-1988a9714b4e	RedHatAI/Qwen3-8B-NVFP4	chat(512/256)	vllm@0.22.0(img:sha256:0fec7ec5f3e6)	cddbebf8	runbooks/RedHatAI/Qwen3-8B-NVFP4/20260613_native-fp4_tuned.sh	145	180	42	38.78	149.29	277.05	486.72	745.66	67.6	c1:26/0/0;c4:106/3/0;c8:199/7/0;c16:342/16/0;c32:522/31/0	ok	levels=1|4|8|16|32,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260613-162333 n1; thermal=72C/35W	results/gb10-1988a9714b4e/RedHatAI/Qwen3-8B-NVFP4/data/20260613-162600-chat
20260613-181110-chat	429df50	gb10-1988a9714b4e	RedHatAI/Qwen3-8B-NVFP4	chat(512/256)	vllm@0.23.0(img:sha256:6d8429e38e37)	979bdb65	runbooks/RedHatAI/Qwen3-8B-NVFP4/baseline.sh	141	180	42	40.56	155.04	285.65	497.04	770.8	69.0	c1:29/0/0;c4:107/3/0;c8:202/7/0;c16:342/15/0;c32:522/31/0	ok	levels=1|4|8|16|32,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	0.23.0 baseline; thermal=71C/35W	results/gb10-1988a9714b4e/RedHatAI/Qwen3-8B-NVFP4/data/20260613-181110-chat
20260613-193429-chat	61fb127	gb10-1988a9714b4e	RedHatAI/Qwen3-8B-NVFP4	chat(512/256)	vllm@0.23.0(img:sha256:6d8429e38e37)	979bdb65	runbooks/RedHatAI/Qwen3-8B-NVFP4/baseline.sh	141	180	42	40.59	na	na	484.64	na	68.2	c1:29/0/0;c16:332/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260613-193110 n1; thermal=71C/34W	results/gb10-1988a9714b4e/RedHatAI/Qwen3-8B-NVFP4/data/20260613-193429-chat
20260613-194052-chat	61fb127	gb10-1988a9714b4e	RedHatAI/Qwen3-8B-NVFP4	chat(512/256)	vllm@0.23.0(img:sha256:6d8429e38e37)	979bdb65	runbooks/RedHatAI/Qwen3-8B-NVFP4/baseline.sh	141	180	42	40.43	na	na	507.14	na	68.2	c1:29/0/0;c16:347/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260613-193110 n2; thermal=69C/34W	results/gb10-1988a9714b4e/RedHatAI/Qwen3-8B-NVFP4/data/20260613-194052-chat
