run_id	commit	node_fp	model	shape	backend	config_hash	script	load_s	max_s	seed	tps_c1	tps_c4	tps_c8	tps_c16	tps_c32	peak_gb	req_counts	validity	knobs	status	notes	data
20260620-072425-chat	60ee7a5	gb10-1988a9714b4e	RedHatAI/Qwen3-Coder-Next-NVFP4	chat(512/256)	vllm@0.23.0(img:sha256:6d8429e38e37)	97153804	runbooks/RedHatAI/Qwen3-Coder-Next-NVFP4/baseline.sh	447	180	42	37.05	108.78	158.41	220.1	286.65	72.5	c1:28/0/0;c4:75/3/0;c8:113/7/0;c16:158/15/0;c32:205/31/0	ok	levels=1|4|8|16|32,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	suite full-sweep; thermal=63C/36W	results/gb10-1988a9714b4e/RedHatAI/Qwen3-Coder-Next-NVFP4/data/20260620-072425-chat
20260620-074011-coder	60ee7a5	gb10-1988a9714b4e	RedHatAI/Qwen3-Coder-Next-NVFP4	coder(4096/1024)	vllm@0.23.0(img:sha256:6d8429e38e37)	97153804	runbooks/RedHatAI/Qwen3-Coder-Next-NVFP4/baseline.sh	447	180	42	36.52	87.79	111.2	133.91	119.83	72.6	c1:7/0/0;c4:16/3/0;c8:21/7/0;c16:24/15/0;c32:24/31/0	nonmonotonic+survivorship@c32	levels=1|4|8|16|32,max_s=180,seed=42,prompt=4096,output=1024,stall=na,ltimeout=na,gllm=0.6.0	measured	suite full-sweep; thermal=64C/36W	results/gb10-1988a9714b4e/RedHatAI/Qwen3-Coder-Next-NVFP4/data/20260620-074011-coder
20260620-120352-chat	0c73104	gb10-1988a9714b4e	RedHatAI/Qwen3-Coder-Next-NVFP4	chat(512/256)	vllm@0.23.0(img:sha256:6d8429e38e37)	004c9b00	runbooks/RedHatAI/Qwen3-Coder-Next-NVFP4/20260620_ngram-spec_tuned.sh	427	180	42	25.05	na	na	141.68	na	69.1	c1:18/0/0;c16:103/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260620-115611 n1; thermal=65C/35W	results/gb10-1988a9714b4e/RedHatAI/Qwen3-Coder-Next-NVFP4/data/20260620-120352-chat
20260620-121013-chat	0c73104	gb10-1988a9714b4e	RedHatAI/Qwen3-Coder-Next-NVFP4	chat(512/256)	vllm@0.23.0(img:sha256:6d8429e38e37)	004c9b00	runbooks/RedHatAI/Qwen3-Coder-Next-NVFP4/20260620_ngram-spec_tuned.sh	427	180	42	24.8	na	na	143.95	na	69.1	c1:18/0/0;c16:103/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260620-115611 n2; thermal=66C/36W	results/gb10-1988a9714b4e/RedHatAI/Qwen3-Coder-Next-NVFP4/data/20260620-121013-chat
20260620-121632-chat	0c73104	gb10-1988a9714b4e	RedHatAI/Qwen3-Coder-Next-NVFP4	chat(512/256)	vllm@0.23.0(img:sha256:6d8429e38e37)	004c9b00	runbooks/RedHatAI/Qwen3-Coder-Next-NVFP4/20260620_ngram-spec_tuned.sh	427	180	42	24.93	na	na	146.77	na	69.1	c1:18/0/0;c16:104/16/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260620-115611 n3; thermal=68C/37W	results/gb10-1988a9714b4e/RedHatAI/Qwen3-Coder-Next-NVFP4/data/20260620-121632-chat
20260620-123438-chat	50fdedd	gb10-1988a9714b4e	RedHatAI/Qwen3-Coder-Next-NVFP4	chat(512/256)	vllm@0.23.0(img:sha256:6d8429e38e37)	0c3c7750	runbooks/RedHatAI/Qwen3-Coder-Next-NVFP4/20260620_mnbt-16384_tuned.sh	472	180	42	37.3	na	na	222.58	na	68.8	c1:28/0/0;c16:157/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260620-122626 n1; thermal=66C/34W	results/gb10-1988a9714b4e/RedHatAI/Qwen3-Coder-Next-NVFP4/data/20260620-123438-chat
20260620-124058-chat	50fdedd	gb10-1988a9714b4e	RedHatAI/Qwen3-Coder-Next-NVFP4	chat(512/256)	vllm@0.23.0(img:sha256:6d8429e38e37)	0c3c7750	runbooks/RedHatAI/Qwen3-Coder-Next-NVFP4/20260620_mnbt-16384_tuned.sh	472	180	42	36.94	na	na	218.08	na	68.8	c1:28/0/0;c16:155/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260620-122626 n2; thermal=67C/36W	results/gb10-1988a9714b4e/RedHatAI/Qwen3-Coder-Next-NVFP4/data/20260620-124058-chat
20260620-124721-chat	50fdedd	gb10-1988a9714b4e	RedHatAI/Qwen3-Coder-Next-NVFP4	chat(512/256)	vllm@0.23.0(img:sha256:6d8429e38e37)	0c3c7750	runbooks/RedHatAI/Qwen3-Coder-Next-NVFP4/20260620_mnbt-16384_tuned.sh	472	180	42	37	na	na	222.9	na	68.1	c1:28/0/0;c16:158/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260620-122626 n3; thermal=68C/36W	results/gb10-1988a9714b4e/RedHatAI/Qwen3-Coder-Next-NVFP4/data/20260620-124721-chat
20260620-130253-chat	5d8e5f8	gb10-1988a9714b4e	RedHatAI/Qwen3-Coder-Next-NVFP4	chat(512/256)	vllm@0.23.0(img:sha256:6d8429e38e37)	c3c96dfb	runbooks/RedHatAI/Qwen3-Coder-Next-NVFP4/20260620_gpumem-0p8_tuned.sh	422	180	42	37.43	na	na	220.6	na	105.8	c1:28/0/0;c16:158/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260620-125530 n1; thermal=67C/36W	results/gb10-1988a9714b4e/RedHatAI/Qwen3-Coder-Next-NVFP4/data/20260620-130253-chat
20260620-130915-chat	5d8e5f8	gb10-1988a9714b4e	RedHatAI/Qwen3-Coder-Next-NVFP4	chat(512/256)	vllm@0.23.0(img:sha256:6d8429e38e37)	c3c96dfb	runbooks/RedHatAI/Qwen3-Coder-Next-NVFP4/20260620_gpumem-0p8_tuned.sh	422	180	42	37.23	na	na	218.89	na	106.5	c1:28/0/0;c16:154/16/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260620-125530 n2; thermal=69C/36W	results/gb10-1988a9714b4e/RedHatAI/Qwen3-Coder-Next-NVFP4/data/20260620-130915-chat
