run_id	commit	node_fp	model	config_hash	script	suite	tasks	limit	scores	data	think
20260614-091052-eval	8f05f57	gb10-1988a9714b4e	RedHatAI/Qwen3.6-35B-A3B-NVFP4	06993b59	runbooks/RedHatAI/Qwen3.6-35B-A3B-NVFP4/baseline.sh	general	gsm8k,mmlu	100	gsm8k=42.0;mmlu=78.19	results/gb10-1988a9714b4e/RedHatAI/Qwen3.6-35B-A3B-NVFP4/data/20260614-091052-eval	on
20260614-103722-eval	5c828cf	gb10-1988a9714b4e	RedHatAI/Qwen3.6-35B-A3B-NVFP4	702e9772	runbooks/RedHatAI/Qwen3.6-35B-A3B-NVFP4/20260614_moe-auto_tuned.sh	general	mmlu	100	mmlu=78.44	results/gb10-1988a9714b4e/RedHatAI/Qwen3.6-35B-A3B-NVFP4/data/20260614-103722-eval	on
20260614-124729-eval	baf15e7	gb10-1988a9714b4e	RedHatAI/Qwen3.6-35B-A3B-NVFP4	2f4bbd67	runbooks/RedHatAI/Qwen3.6-35B-A3B-NVFP4/VLLM-23-RedHatAI_Qwen3.6-35B-A3B_NVFP4_final.sh	general	mmlu	100	mmlu=77.6	results/gb10-1988a9714b4e/RedHatAI/Qwen3.6-35B-A3B-NVFP4/data/20260614-124729-eval	on
20260615-034502-eval	4bbaf4b	gb10-1988a9714b4e	RedHatAI/Qwen3.6-35B-A3B-NVFP4	2f4bbd67	runbooks/RedHatAI/Qwen3.6-35B-A3B-NVFP4/VLLM-23-RedHatAI_Qwen3.6-35B-A3B_NVFP4_final.sh	general	gsm8k	100	gsm8k=40.0	results/gb10-1988a9714b4e/RedHatAI/Qwen3.6-35B-A3B-NVFP4/data/20260615-034502-eval	on
20260615-043051-eval	b0f092e	gb10-1988a9714b4e	RedHatAI/Qwen3.6-35B-A3B-NVFP4	2f4bbd67	runbooks/RedHatAI/Qwen3.6-35B-A3B-NVFP4/VLLM-23-RedHatAI_Qwen3.6-35B-A3B_NVFP4_final.sh	general	gsm8k	20	gsm8k=90.0	results/gb10-1988a9714b4e/RedHatAI/Qwen3.6-35B-A3B-NVFP4/data/20260615-043051-eval	off
20260704-190500-eval	453996d	gb10-1988a9714b4e	RedHatAI/Qwen3.6-35B-A3B-NVFP4	7ca38372	runbooks/RedHatAI/Qwen3.6-35B-A3B-NVFP4/20260704_v0.24.0_baseline.sh	general	mmlu	100	mmlu=82.82	results/gb10-1988a9714b4e/RedHatAI/Qwen3.6-35B-A3B-NVFP4/data/20260704-190500-eval	on
20260704-195818-eval	453996d	gb10-1988a9714b4e	RedHatAI/Qwen3.6-35B-A3B-NVFP4	7ca38372	runbooks/RedHatAI/Qwen3.6-35B-A3B-NVFP4/20260704_v0.24.0_baseline.sh	general	gsm8k	100	gsm8k=98.0	results/gb10-1988a9714b4e/RedHatAI/Qwen3.6-35B-A3B-NVFP4/data/20260704-195818-eval	off
20260704-195931-eval	453996d	gb10-1988a9714b4e	RedHatAI/Qwen3.6-35B-A3B-NVFP4	7ca38372	runbooks/RedHatAI/Qwen3.6-35B-A3B-NVFP4/20260704_v0.24.0_baseline.sh	resistant	mmlu_pro	100	mmlu_pro=68.21	results/gb10-1988a9714b4e/RedHatAI/Qwen3.6-35B-A3B-NVFP4/data/20260704-195931-eval	off
20260704-213524-eval	453996d	gb10-1988a9714b4e	RedHatAI/Qwen3.6-35B-A3B-NVFP4	29f9995d	runbooks/RedHatAI/Qwen3.6-35B-A3B-NVFP4/20260704_moe-auto_tuned.sh	general	mmlu	100	mmlu=81.75	results/gb10-1988a9714b4e/RedHatAI/Qwen3.6-35B-A3B-NVFP4/data/20260704-213524-eval	on
20260704-223017-eval	d4fe51a	gb10-1988a9714b4e	RedHatAI/Qwen3.6-35B-A3B-NVFP4	99d25329	runbooks/RedHatAI/Qwen3.6-35B-A3B-NVFP4/20260704_mtp-n2_tuned.sh	general	mmlu	100	mmlu=82.65	results/gb10-1988a9714b4e/RedHatAI/Qwen3.6-35B-A3B-NVFP4/data/20260704-223017-eval	on
20260704-232359-eval	d4fe51a	gb10-1988a9714b4e	RedHatAI/Qwen3.6-35B-A3B-NVFP4	99d25329	runbooks/RedHatAI/Qwen3.6-35B-A3B-NVFP4/20260704_mtp-n2_tuned.sh	general	gsm8k	100	gsm8k=96.0	results/gb10-1988a9714b4e/RedHatAI/Qwen3.6-35B-A3B-NVFP4/data/20260704-232359-eval	off
20260704-232517-eval	d4fe51a	gb10-1988a9714b4e	RedHatAI/Qwen3.6-35B-A3B-NVFP4	99d25329	runbooks/RedHatAI/Qwen3.6-35B-A3B-NVFP4/20260704_mtp-n2_tuned.sh	resistant	mmlu_pro	100	mmlu_pro=68.21	results/gb10-1988a9714b4e/RedHatAI/Qwen3.6-35B-A3B-NVFP4/data/20260704-232517-eval	off
