run_id	commit	node_fp	model	shape	backend	config_hash	script	load_s	max_s	seed	tps_c1	tps_c4	tps_c8	tps_c16	tps_c32	peak_gb	req_counts	validity	knobs	status	notes	data
20260617-165508-chat	eaa0c6c	gb10-1988a9714b4e	WeiboAI/VibeThinker-3B	chat(512/256)	vllm@0.23.0(img:sha256:6d8429e38e37)	727fd7ca	runbooks/WeiboAI/VibeThinker-3B/baseline.sh	136	180	42	29.78	132.88	258.3	485.07	852.67	67.1	c1:22/0/0;c4:94/3/0;c8:184/7/0;c16:342/15/0;c32:596/31/0	ok	levels=1,4,8,16,32,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	baseline full-sweep; thermal=76C/37W	results/gb10-1988a9714b4e/WeiboAI/VibeThinker-3B/data/20260617-165508-chat
20260617-171049-coder	eaa0c6c	gb10-1988a9714b4e	WeiboAI/VibeThinker-3B	coder(4096/1024)	vllm@0.23.0(img:sha256:6d8429e38e37)	727fd7ca	runbooks/WeiboAI/VibeThinker-3B/baseline.sh	136	180	42	28.61	108.98	193.92	304.42	400.26	67.1	c1:5/0/0;c4:20/3/0;c8:36/8/0;c16:55/15/0;c32:72/32/0	low_sample	levels=1,4,8,16,32,max_s=180,seed=42,prompt=4096,output=1024,stall=na,ltimeout=na,gllm=0.6.0	measured	baseline full-sweep; thermal=68C/37W	results/gb10-1988a9714b4e/WeiboAI/VibeThinker-3B/data/20260617-171049-coder
20260617-173227-chat	141c43c	gb10-1988a9714b4e	WeiboAI/VibeThinker-3B	chat(512/256)	vllm@0.23.0(img:sha256:6d8429e38e37)	727fd7ca	runbooks/WeiboAI/VibeThinker-3B/baseline.sh	131	180	42	29.79	na	na	484.73	na	67.2	c1:22/0/0;c16:341/15/0	ok	levels=1,16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260617-172950 n1; thermal=70C/36W	results/gb10-1988a9714b4e/WeiboAI/VibeThinker-3B/data/20260617-173227-chat
20260617-173847-chat	141c43c	gb10-1988a9714b4e	WeiboAI/VibeThinker-3B	chat(512/256)	vllm@0.23.0(img:sha256:6d8429e38e37)	727fd7ca	runbooks/WeiboAI/VibeThinker-3B/baseline.sh	131	180	42	29.59	na	na	509.95	na	67.4	c1:22/0/0;c16:358/15/0	ok	levels=1,16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260617-172950 n2; thermal=67C/35W	results/gb10-1988a9714b4e/WeiboAI/VibeThinker-3B/data/20260617-173847-chat
20260617-174508-chat	141c43c	gb10-1988a9714b4e	WeiboAI/VibeThinker-3B	chat(512/256)	vllm@0.23.0(img:sha256:6d8429e38e37)	727fd7ca	runbooks/WeiboAI/VibeThinker-3B/baseline.sh	131	180	42	29.57	na	na	509.81	na	67.4	c1:22/0/0;c16:359/15/0	ok	levels=1,16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260617-172950 n3; thermal=67C/36W	results/gb10-1988a9714b4e/WeiboAI/VibeThinker-3B/data/20260617-174508-chat
20260617-175408-chat	141c43c	gb10-1988a9714b4e	WeiboAI/VibeThinker-3B	chat(512/256)	vllm@0.23.0(img:sha256:6d8429e38e37)	98f9c5f7	runbooks/WeiboAI/VibeThinker-3B/20260617_async-sched_tuned.sh	125	180	42	29.65	na	na	483.43	na	67.4	c1:22/0/0;c16:342/15/0	ok	levels=1,16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260617-175136 n1; thermal=73C/37W	results/gb10-1988a9714b4e/WeiboAI/VibeThinker-3B/data/20260617-175408-chat
20260617-180030-chat	141c43c	gb10-1988a9714b4e	WeiboAI/VibeThinker-3B	chat(512/256)	vllm@0.23.0(img:sha256:6d8429e38e37)	98f9c5f7	runbooks/WeiboAI/VibeThinker-3B/20260617_async-sched_tuned.sh	125	180	42	29.56	na	na	511.58	na	67.4	c1:22/0/0;c16:359/15/0	ok	levels=1,16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260617-175136 n2; thermal=68C/35W	results/gb10-1988a9714b4e/WeiboAI/VibeThinker-3B/data/20260617-180030-chat
20260617-180701-chat	141c43c	gb10-1988a9714b4e	WeiboAI/VibeThinker-3B	chat(512/256)	vllm@0.23.0(img:sha256:6d8429e38e37)	98f9c5f7	runbooks/WeiboAI/VibeThinker-3B/20260617_async-sched_tuned.sh	125	180	42	29.57	na	na	510.38	na	67.5	c1:22/0/0;c16:359/15/0	ok	levels=1,16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260617-175136 n3; thermal=67C/36W	results/gb10-1988a9714b4e/WeiboAI/VibeThinker-3B/data/20260617-180701-chat
20260617-181612-chat	141c43c	gb10-1988a9714b4e	WeiboAI/VibeThinker-3B	chat(512/256)	vllm@0.23.0(img:sha256:6d8429e38e37)	e46d5994	runbooks/WeiboAI/VibeThinker-3B/20260617_batched-32k_tuned.sh	136	180	42	29.63	na	na	480.51	na	65.8	c1:22/0/0;c16:338/16/0	ok	levels=1,16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260617-181329 n1; thermal=73C/37W	results/gb10-1988a9714b4e/WeiboAI/VibeThinker-3B/data/20260617-181612-chat
20260617-182232-chat	141c43c	gb10-1988a9714b4e	WeiboAI/VibeThinker-3B	chat(512/256)	vllm@0.23.0(img:sha256:6d8429e38e37)	e46d5994	runbooks/WeiboAI/VibeThinker-3B/20260617_batched-32k_tuned.sh	136	180	42	29.53	na	na	508.35	na	65.8	c1:22/0/0;c16:358/15/0	ok	levels=1,16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260617-181329 n2; thermal=67C/36W	results/gb10-1988a9714b4e/WeiboAI/VibeThinker-3B/data/20260617-182232-chat
