ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,813.60,128,17.90,73.316,127,17.95,52184460
4096,2048,896.35,128,15.31,57.841,127,15.30,80373132
6144,2048,885.72,128,15.22,67.086,127,15.23,108561804
8192,2048,881.28,128,15.09,68.164,127,15.10,136750476
10240,2048,872.22,128,14.99,67.138,127,14.99,164939148
12288,2048,868.52,128,14.93,67.838,127,14.94,193127820
14336,2048,863.92,128,14.86,69.462,127,14.87,221316492
16384,2048,871.23,128,14.97,68.068,127,14.98,249505164
18432,2048,868.45,128,14.90,69.150,127,14.91,277693836
20480,2048,866.78,128,14.88,68.619,127,14.89,305882508
22528,2048,863.64,128,14.82,69.040,127,14.83,334071180
24576,2048,862.20,128,14.77,69.046,127,14.78,362259852
26624,2048,858.67,128,14.72,69.086,127,14.72,390448524
28672,2048,856.65,128,14.62,70.489,127,14.63,418637196
30720,2048,854.68,128,14.60,70.447,127,14.61,446825868
32768,2048,854.48,128,14.32,70.981,127,14.33,475014540
34816,2048,846.07,128,14.20,72.345,127,14.21,503203212
36864,2048,845.34,128,14.17,72.141,127,14.18,531391884
38912,2048,843.91,128,14.14,71.938,127,14.14,559580556
40960,2048,842.23,128,14.12,72.516,127,14.13,587769228
43008,2048,839.12,128,14.10,72.570,127,14.11,615957900
45056,2048,836.34,128,14.02,73.078,127,14.03,644146572
47104,2048,835.68,128,14.03,73.856,127,14.04,672335244
49152,2048,832.60,128,13.98,73.380,127,13.98,700523916
51200,2048,833.29,128,13.94,73.627,127,13.94,728712588
53248,2048,830.93,128,13.87,74.450,127,13.88,756901260
55296,2048,829.36,128,13.86,73.082,127,13.87,785089932
57344,2048,827.91,128,13.81,74.247,127,13.82,813278604
59392,2048,826.87,128,13.78,73.875,127,13.79,841467276
61440,2048,826.13,128,13.76,73.865,127,13.76,869655948
63488,2048,823.15,128,13.74,74.502,127,13.75,897844620
65536,2048,823.34,128,13.73,74.173,127,13.74,0
