run_id	commit	node_fp	model	shape	backend	config_hash	script	load_s	max_s	seed	tps_c1	tps_c4	tps_c8	tps_c16	tps_c32	peak_gb	status	notes	data
20260709-053426-chat	cdd29ed	gb10-1988a9714b4e	nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4	chat(512/256)	vllm@0.24.0(img:sha256:251eba5cc7c1)	0961d3ae	runbooks/nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4/baseline.sh	462	180	42	20.42	64.31	102.77	154.3	211.29	100.1	measured	suite full-sweep; thermal=66C/37W	results/gb10-1988a9714b4e/nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4/data/20260709-053426-chat
20260709-055023-coder	cdd29ed	gb10-1988a9714b4e	nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4	coder(4096/1024)	vllm@0.24.0(img:sha256:251eba5cc7c1)	0961d3ae	runbooks/nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4/baseline.sh	462	180	42	22.7	59.92	73.34	111.83	70.69	100.3	measured	suite full-sweep; thermal=69C/39W	results/gb10-1988a9714b4e/nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4/data/20260709-055023-coder
20260709-070249-chat	f8140fa	gb10-1988a9714b4e	nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4	chat(512/256)	vllm@0.24.0(img:sha256:251eba5cc7c1)	81f55234	runbooks/nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4/20260709_mtp-n1_tuned.sh	543	180	42	29.04	na	na	169.27	na	96.1	measured	exp=20260709-065313 n1; thermal=66C/32W	results/gb10-1988a9714b4e/nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4/data/20260709-070249-chat
20260709-070947-chat	f8140fa	gb10-1988a9714b4e	nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4	chat(512/256)	vllm@0.24.0(img:sha256:251eba5cc7c1)	81f55234	runbooks/nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4/20260709_mtp-n1_tuned.sh	543	180	42	28.78	na	na	169.31	na	95.8	measured	exp=20260709-065313 n2; thermal=68C/33W	results/gb10-1988a9714b4e/nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4/data/20260709-070947-chat
20260709-071646-chat	f8140fa	gb10-1988a9714b4e	nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4	chat(512/256)	vllm@0.24.0(img:sha256:251eba5cc7c1)	81f55234	runbooks/nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4/20260709_mtp-n1_tuned.sh	543	180	42	29.93	na	na	170.13	na	96.0	measured	exp=20260709-065313 n3; thermal=69C/34W	results/gb10-1988a9714b4e/nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4/data/20260709-071646-chat
20260709-074634-chat	0b9971f	gb10-1988a9714b4e	nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4	chat(512/256)	vllm@0.24.0(img:sha256:251eba5cc7c1)	84a28d86	runbooks/nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4/20260709_mtp-async_tuned.sh	537	180	42	28.56	na	na	169.84	na	96.2	measured	exp=20260709-073707 n1; thermal=65C/32W	results/gb10-1988a9714b4e/nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4/data/20260709-074634-chat
20260709-075337-chat	0b9971f	gb10-1988a9714b4e	nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4	chat(512/256)	vllm@0.24.0(img:sha256:251eba5cc7c1)	84a28d86	runbooks/nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4/20260709_mtp-async_tuned.sh	537	180	42	29.36	na	na	166.61	na	96.3	measured	exp=20260709-073707 n2; thermal=67C/33W	results/gb10-1988a9714b4e/nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4/data/20260709-075337-chat
20260709-080035-chat	0b9971f	gb10-1988a9714b4e	nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4	chat(512/256)	vllm@0.24.0(img:sha256:251eba5cc7c1)	84a28d86	runbooks/nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4/20260709_mtp-async_tuned.sh	537	180	42	28.99	na	na	164.81	na	96.4	measured	exp=20260709-073707 n3; thermal=68C/33W	results/gb10-1988a9714b4e/nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4/data/20260709-080035-chat
20260709-084800-chat	c2dda98	gb10-1988a9714b4e	nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4	chat(512/256)	vllm@0.24.0(img:sha256:251eba5cc7c1)	81f55234	runbooks/nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4/20260709_mtp-n1_tuned.sh	578	180	42	29.5	79.19	121.33	173.06	240.43	100.6	measured	suite full-sweep; thermal=65C/36W	results/gb10-1988a9714b4e/nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4/data/20260709-084800-chat
20260709-090400-coder	c2dda98	gb10-1988a9714b4e	nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4	coder(4096/1024)	vllm@0.24.0(img:sha256:251eba5cc7c1)	81f55234	runbooks/nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4/20260709_mtp-n1_tuned.sh	578	180	42	30.56	73.54	109.52	123.14	114.06	100.7	measured	suite full-sweep; thermal=68C/39W	results/gb10-1988a9714b4e/nvidia/NVIDIA-Nemotron-Labs-3-Puzzle-75B-A9B-NVFP4/data/20260709-090400-coder
