run_id	commit	node_fp	model	shape	backend	config_hash	script	load_s	max_s	seed	tps_c1	tps_c4	tps_c8	tps_c16	tps_c32	peak_gb	status	notes	data
20260818-100310-chat	4c8a98c	gb10-1988a9714b4e	unsloth/Qwen3.8-27B-NVFP4	chat(512/256)	vllm@0.27.1(img:sha256:0a51ea5b4ae2)	8cfcfcac	runbooks/unsloth/Qwen3.8-27B-NVFP4/baseline.sh	417	180	42	13.6	45.03	77.86	136.36	205.42	75.3	measured	suite full-sweep; thermal=74C/37W	results/gb10-1988a9714b4e/unsloth/Qwen3.8-27B-NVFP4/data/20260818-100310-chat
20260818-101929-coder	4c8a98c	gb10-1988a9714b4e	unsloth/Qwen3.8-27B-NVFP4	coder(4096/1024)	vllm@0.27.1(img:sha256:0a51ea5b4ae2)	8cfcfcac	runbooks/unsloth/Qwen3.8-27B-NVFP4/baseline.sh	417	600	42	14.23	40.54	73.13	102.83	137.32	75.3	measured	suite full-sweep; thermal=76C/40W	results/gb10-1988a9714b4e/unsloth/Qwen3.8-27B-NVFP4/data/20260818-101929-coder
20260818-130426-chat	09913e8	gb10-1988a9714b4e	unsloth/Qwen3.8-27B-NVFP4	chat(512/256)	vllm@0.27.1(img:sha256:0a51ea5b4ae2)	31fcad6c	runbooks/unsloth/Qwen3.8-27B-NVFP4/20260818_mtp-n2_tuned.sh	452	180	42	24.54	na	na	188.34	na	71.7	measured	exp=20260818-125639 n1; thermal=76C/40W	results/gb10-1988a9714b4e/unsloth/Qwen3.8-27B-NVFP4/data/20260818-130426-chat
20260818-131057-chat	09913e8	gb10-1988a9714b4e	unsloth/Qwen3.8-27B-NVFP4	chat(512/256)	vllm@0.27.1(img:sha256:0a51ea5b4ae2)	31fcad6c	runbooks/unsloth/Qwen3.8-27B-NVFP4/20260818_mtp-n2_tuned.sh	452	180	42	23.15	na	na	190.05	na	71.8	measured	exp=20260818-125639 n2; thermal=72C/40W	results/gb10-1988a9714b4e/unsloth/Qwen3.8-27B-NVFP4/data/20260818-131057-chat
20260818-131724-chat	09913e8	gb10-1988a9714b4e	unsloth/Qwen3.8-27B-NVFP4	chat(512/256)	vllm@0.27.1(img:sha256:0a51ea5b4ae2)	31fcad6c	runbooks/unsloth/Qwen3.8-27B-NVFP4/20260818_mtp-n2_tuned.sh	452	180	42	23.09	na	na	187.61	na	71.7	measured	exp=20260818-125639 n3; thermal=73C/39W	results/gb10-1988a9714b4e/unsloth/Qwen3.8-27B-NVFP4/data/20260818-131724-chat
20260818-133106-chat	09913e8	gb10-1988a9714b4e	unsloth/Qwen3.8-27B-NVFP4	chat(512/256)	vllm@0.27.1(img:sha256:0a51ea5b4ae2)	de23b412	runbooks/unsloth/Qwen3.8-27B-NVFP4/20260818_mtp-n3_tuned.sh	417	180	42	24.24	na	na	208.86	na	71.4	measured	exp=20260818-132356 n1; thermal=76C/41W	results/gb10-1988a9714b4e/unsloth/Qwen3.8-27B-NVFP4/data/20260818-133106-chat
20260818-133736-chat	09913e8	gb10-1988a9714b4e	unsloth/Qwen3.8-27B-NVFP4	chat(512/256)	vllm@0.27.1(img:sha256:0a51ea5b4ae2)	de23b412	runbooks/unsloth/Qwen3.8-27B-NVFP4/20260818_mtp-n3_tuned.sh	417	180	42	25.64	na	na	201.84	na	71.4	measured	exp=20260818-132356 n2; thermal=75C/41W	results/gb10-1988a9714b4e/unsloth/Qwen3.8-27B-NVFP4/data/20260818-133736-chat
20260818-134356-chat	09913e8	gb10-1988a9714b4e	unsloth/Qwen3.8-27B-NVFP4	chat(512/256)	vllm@0.27.1(img:sha256:0a51ea5b4ae2)	de23b412	runbooks/unsloth/Qwen3.8-27B-NVFP4/20260818_mtp-n3_tuned.sh	417	180	42	26.43	na	na	210	na	71.4	measured	exp=20260818-132356 n3; thermal=73C/41W	results/gb10-1988a9714b4e/unsloth/Qwen3.8-27B-NVFP4/data/20260818-134356-chat
20260818-135818-chat	09913e8	gb10-1988a9714b4e	unsloth/Qwen3.8-27B-NVFP4	chat(512/256)	vllm@0.27.1(img:sha256:0a51ea5b4ae2)	98f1e6e3	runbooks/unsloth/Qwen3.8-27B-NVFP4/20260818_mtp-n4_tuned.sh	462	180	42	28.99	na	na	na	na	6.2	crash	SERVER CRASHED during the c16 stage — MTP n=4. c16 tok/s was 449358.18, which is NOT a measurement: the level recorded ok=16 / errored=112069, and the 16 'successful' returned in ~0s against a dead endpoint, inflating successful.mean. gpu_metrics.csv shows the container dying mid-stage (13:58:23 power 10.58W sys_used 72.1GB -> 14:04:26 power 3.91W sys_used 7.7GB, SM clock 2398->208MHz). c1 on the SAME run was healthy (ok=20, errored=0, 28.99 tok/s — the best c1 in the bracket), so n=4 fails only under concurrency. tps_c16 set to na.	results/gb10-1988a9714b4e/unsloth/Qwen3.8-27B-NVFP4/data/20260818-135818-chat
20260818-141413-chat	09913e8	gb10-1988a9714b4e	unsloth/Qwen3.8-27B-NVFP4	chat(512/256)	vllm@0.27.1(img:sha256:0a51ea5b4ae2)	98f1e6e3	runbooks/unsloth/Qwen3.8-27B-NVFP4/20260818_mtp-n4_tuned.sh	432	180	42	na	na	na	205.5	na	71.6	measured	n4 crash reproduction attempt; thermal=76C/50W	results/gb10-1988a9714b4e/unsloth/Qwen3.8-27B-NVFP4/data/20260818-141413-chat
20260818-142518-chat	09913e8	gb10-1988a9714b4e	unsloth/Qwen3.8-27B-NVFP4	chat(512/256)	vllm@0.27.1(img:sha256:0a51ea5b4ae2)	98f1e6e3	runbooks/unsloth/Qwen3.8-27B-NVFP4/20260818_mtp-n4_tuned.sh	426	180	42	28.42	na	na	na	na	6.2	crash	SERVER CRASHED at c16 — MTP n=4, SECOND occurrence (see 20260818-135818-chat). c16 tok/s was 1992.87, not a measurement: ok=17 / errored=107589, GPU 72.2GB->7.3GB and SM 2398->208MHz mid-stage. c1 healthy on the same serve (ok=20, errored=0). n=4 crash rate 2/3 at c16; the one survivor measured 205.50, BELOW n=3's 208.86 median. DISCARD on stability AND speed. tps_c16 set to na.	results/gb10-1988a9714b4e/unsloth/Qwen3.8-27B-NVFP4/data/20260818-142518-chat
